--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 4.84
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.09
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.16
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 4.92
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: -0.04
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.00
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.38
 | MotorSpeed: 40Pitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: -0.53
 | Motors: STOPPEDPitch: 180.01 | Setpoint: 180.22 | Error: -0.20 | Output: 5.47
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.71
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.19
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.39
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.04
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.39
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.09
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.35
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.20
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.20
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.65
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.12
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.73
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.55
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.94
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.00
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.36
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.66
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.92
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.78
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.60
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.78
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.20
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.65
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.13
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.74
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.37
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.01
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.16
 | MotorSpeed: 40Pitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: 0.61
 | Motors: STOPPEDPitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: 2.09
 | MotorSpeed: 40Pitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: 2.09
 | MotorSpeed: 40Pitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: 2.09
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.30
 | MotorSpeed: 40Pitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: 0.94
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.30
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.70
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.61
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.80
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.67
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.70
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.67
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.31
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.76
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.58
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.97
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.43
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.97
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.63
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 3.77
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.90
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 1.71
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 3.50
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 1.40
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.30
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.75
