--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.83
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.07
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.06
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.06
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.06
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -13.41
 | Error: 0.5 | TiltRate: 0.6 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.18
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.75
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.17
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.74
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.15
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.73
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.14
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.14
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.72
