--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Pitch: 180.61 | Setpoint: 180.18 | Error: 0.42 | Output: -3.89
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.28
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.54
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.54
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.28
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.53
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -13.32
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.41
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.40
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.40
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.39
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.38
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.63
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.44 | Output: -13.43
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -3.72
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.63
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.37
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.62
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -13.41
